Statistical profiling result from bloq.log, (6788 ticks, 12 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     15    0.2%          /usr/lib/system/libsystem_pthread.dylib
      9    0.1%          /usr/lib/system/libsystem_malloc.dylib
      6    0.1%          /usr/lib/system/libsystem_platform.dylib
      3    0.0%          /usr/lib/system/libsystem_kernel.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     18    0.3%    0.3%  LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      7    0.1%    0.1%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:66:35
      7    0.1%    0.1%  LazyCompile: *clearBuffer node:internal/streams/writable:534:21
      6    0.1%    0.1%  LazyCompile: *session /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:179:26
      5    0.1%    0.1%  LazyCompile: *pretty /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino-pretty/index.js:65:19
      5    0.1%    0.1%  LazyCompile: *onwrite node:internal/streams/writable:431:17
      5    0.1%    0.1%  LazyCompile: *<anonymous> /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/dateformat/lib/dateformat.js:1:696
      4    0.1%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      4    0.1%    0.1%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      4    0.1%    0.1%  LazyCompile: *write /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino/lib/tools.js:234:11
      4    0.1%    0.1%  LazyCompile: *update node:internal/crypto/hash:95:40
      4    0.1%    0.1%  LazyCompile: *processImmediate node:internal/timers:421:28
      4    0.1%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:102:18
      4    0.1%    0.1%  LazyCompile: *header /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:754:29
      4    0.1%    0.1%  LazyCompile: *get node:_http_incoming:111:16
      4    0.1%    0.1%  LazyCompile: *emit node:events:327:44
      4    0.1%    0.1%  LazyCompile: *_storeHeader node:_http_outgoing:373:22
      3    0.0%    0.0%  RegExp: d{1,4}|D{3,4}|m{1,4}|yy(?:yy)?|([HhMsTt])\1?|W{1,2}|[LlopSZN]|"[^"]*"|'[^']*'
      3    0.0%    0.0%  RegExp: (\[[^[\]]*])
      3    0.0%    0.0%  LazyCompile: *processPromiseRejections node:internal/process/promises:202:34
      3    0.0%    0.0%  LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/layer.js:86:49
      3    0.0%    0.0%  LazyCompile: *getHeader node:_http_outgoing:587:57
      3    0.0%    0.0%  LazyCompile: *fastparse /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/parseurl/index.js:95:20
      3    0.0%    0.0%  LazyCompile: *asJson /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino/lib/tools.js:92:17
      2    0.0%    0.0%  RegExp: ^\d+
      2    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      2    0.0%    0.0%  RegExp: ;\s*charset\s*=
      2    0.0%    0.0%  LazyCompile: *parserOnHeadersComplete node:_http_common:78:33
      2    0.0%    0.0%  LazyCompile: *parse /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/cookie/index.js:49:15
      2    0.0%    0.0%  LazyCompile: *normalizeString node:path:61:25
      2    0.0%    0.0%  LazyCompile: *get data /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/session/cookie.js:117:11
      2    0.0%    0.0%  LazyCompile: *fromStringFast node:buffer:413:24
      2    0.0%    0.0%  LazyCompile: *debug /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/debug/src/debug.js:65:17
      2    0.0%    0.0%  LazyCompile: *ReadableState node:internal/streams/readable:77:23
      1    0.0%    0.0%  RegExp: ^\/auth\/google\/callback\/?$
      1    0.0%    0.0%  RegExp: \=+$
      1    0.0%    0.0%  RegExp: ; *
      1    0.0%    0.0%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.0%  LazyCompile: *writevGeneric node:internal/stream_base_commons:122:23
      1    0.0%    0.0%  LazyCompile: *writetop /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:270:24
      1    0.0%    0.0%  LazyCompile: *write_ node:_http_outgoing:710:16
      1    0.0%    0.0%  LazyCompile: *writeOrBuffer node:internal/streams/writable:371:23
      1    0.0%    0.0%  LazyCompile: *writeHead node:_http_server:274:19
      1    0.0%    0.0%  LazyCompile: *write /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino/lib/proto.js:164:16
      1    0.0%    0.0%  LazyCompile: *setHeader node:_http_outgoing:571:57
      1    0.0%    0.0%  LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      1    0.0%    0.0%  LazyCompile: *parseQueryStringValues /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:41:50
      1    0.0%    0.0%  LazyCompile: *parse /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/node_modules/cookie/index.js:49:15
      1    0.0%    0.0%  LazyCompile: *normalizeParseOptions /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:189:59
      1    0.0%    0.0%  LazyCompile: *module.exports /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:222:27
      1    0.0%    0.0%  LazyCompile: *hash /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:596:14
      1    0.0%    0.0%  LazyCompile: *end node:_http_outgoing:813:45
      1    0.0%    0.0%  LazyCompile: *createHash node:crypto:129:20
      1    0.0%    0.0%  LazyCompile: *adjustOffset node:buffer:1099:22
      1    0.0%    0.0%  LazyCompile: *Object.entries.reduce.plain /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/pino-pretty/lib/utils.js:363:58
      1    0.0%    0.0%  LazyCompile: *Hash node:internal/crypto/hash:58:14

 [C++]:
   ticks  total  nonlib   name
   2793   41.1%   41.3%  T __kernelrpc_thread_policy_set
   2661   39.2%   39.4%  T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
    115    1.7%    1.7%  T _semaphore_wait
    100    1.5%    1.5%  T _task_restartable_ranges_synchronize
     98    1.4%    1.5%  t node::fs::WriteString(v8::FunctionCallbackInfo<v8::Value> const&)
     96    1.4%    1.4%  T void node::StreamBase::JSMethod<&(node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     58    0.9%    0.9%  T __ZN4node6crypto4Hash3NewERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     37    0.5%    0.5%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
