Statistical profiling result from no-bloq.log, (5425 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     14    0.3%          /usr/lib/system/libsystem_pthread.dylib
     14    0.3%          /usr/lib/system/libsystem_kernel.dylib
     12    0.2%          /usr/lib/system/libsystem_malloc.dylib
      3    0.1%          /usr/lib/system/libsystem_platform.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     18    0.3%    0.3%  LazyCompile: *next /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:176:16
      9    0.2%    0.2%  LazyCompile: *session /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:179:26
      7    0.1%    0.1%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:66:35
      5    0.1%    0.1%  LazyCompile: *parseQueryStringValues /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:41:50
      5    0.1%    0.1%  LazyCompile: *clearBuffer node:internal/streams/writable:534:21
      4    0.1%    0.1%  LazyCompile: *write_ node:_http_outgoing:710:16
      4    0.1%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:102:18
      4    0.1%    0.1%  LazyCompile: *header /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:754:29
      4    0.1%    0.1%  LazyCompile: *_storeHeader node:_http_outgoing:373:22
      3    0.1%    0.1%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      3    0.1%    0.1%  LazyCompile: *slowCases node:internal/util:139:19
      3    0.1%    0.1%  LazyCompile: *processImmediate node:internal/timers:421:28
      3    0.1%    0.1%  LazyCompile: *parserOnHeadersComplete node:_http_common:78:33
      3    0.1%    0.1%  LazyCompile: *get node:_http_incoming:111:16
      3    0.1%    0.1%  LazyCompile: *fastparse /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/parseurl/index.js:95:20
      2    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      2    0.0%    0.0%  LazyCompile: *onwrite node:internal/streams/writable:431:17
      2    0.0%    0.0%  LazyCompile: *handle /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/router/index.js:136:31
      2    0.0%    0.0%  LazyCompile: *emit node:events:327:44
      2    0.0%    0.0%  LazyCompile: *Writable.write node:internal/streams/writable:293:36
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: \=+$
      1    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.0%  RegExp: ;\s*charset\s*=
      1    0.0%    0.0%  RegExp: (\[[^[\]]*]) {1}
      1    0.0%    0.0%  RegExp: (\[[^[\]]*])
      1    0.0%    0.0%  RegExp: (?:^|\/)\.?\.$
      1    0.0%    0.0%  LazyCompile: *writeHead node:_http_server:274:19
      1    0.0%    0.0%  LazyCompile: *send /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express/lib/response.js:107:25
      1    0.0%    0.0%  LazyCompile: *popAsyncContext node:internal/async_hooks:516:25
      1    0.0%    0.0%  LazyCompile: *parseQueryStringKeys /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/qs/lib/parse.js:135:46
      1    0.0%    0.0%  LazyCompile: *normalizeString node:path:61:25
      1    0.0%    0.0%  LazyCompile: *hash /Users/rafaelmascayano/git/coderhouse/sesion32/desafio/node/node_modules/express-session/index.js:596:14
      1    0.0%    0.0%  LazyCompile: *hasHooks node:internal/async_hooks:437:18
      1    0.0%    0.0%  LazyCompile: *fromStringFast node:buffer:413:24
      1    0.0%    0.0%  LazyCompile: *digest node:internal/crypto/hash:115:40
      1    0.0%    0.0%  LazyCompile: *createHash node:crypto:129:20
      1    0.0%    0.0%  LazyCompile: *ReadableState node:internal/streams/readable:77:23
      1    0.0%    0.0%  LazyCompile: *Hash node:internal/crypto/hash:58:14

 [C++]:
   ticks  total  nonlib   name
   2518   46.4%   46.8%  T __kernelrpc_thread_policy_set
   2008   37.0%   37.3%  T __ZN2v88internal4wasm11AsmJsParser19ExpressionStatementEv
     98    1.8%    1.8%  T void node::StreamBase::JSMethod<&(node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
     69    1.3%    1.3%  T _semaphore_wait
     46    0.8%    0.9%  T __ZN4node6crypto4Hash3NewERKN2v820FunctionCallbackInfoINS2_5ValueEEE
     37    0.7%    0.7%  T __kernelrpc_mach_vm_purgable_control_trap
     36    0.7%    0.7%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     28    0.5%    0.5%  T node::native_module::NativeModuleEnv::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
